"Time [ms]","PsiD [Wb]","PsiQ [Wb]","Moving1.Torque [NewtonMeter]"
300,0.0688209678894063,0.0252510107595369,29.0522068753927
301.5625,0.0687901955262514,0.0253947644603919,28.8042008651387
303.125,0.0688655806325185,0.0255502778433375,28.598627442252
304.6875,0.0689494945286623,0.0256715715179867,28.4291483018341
306.25,0.0690521687180932,0.0257813810568905,28.3109469803758
307.8125,0.069187630717062,0.0258603021480913,28.0931733204898
309.375,0.0693674994381438,0.0258759475695653,27.7866649261498
310.9375,0.0695015466372432,0.025804248642018,27.9427652563843
312.5,0.0696172559364715,0.0257025725500501,28.0010023843865
314.0625,0.0696582008046095,0.0255650628059687,28.1586848855431
315.625,0.0696804823994009,0.0254358594429899,28.5805077627175
317.1875,0.0695811475482356,0.025294294259711,28.9110303315846
318.75,0.0694088024367859,0.0251806863978188,29.1052180348156
320.3125,0.0692163805595638,0.0251178447120615,29.1837581930064
321.875,0.0690666238550364,0.0251031281662957,29.0668848903275
323.4375,0.068915863686403,0.0251326184121255,29.2740775267953
325,0.0688242212033239,0.0252537030102812,29.0045587109593
326.5625,0.0687919425968132,0.0253951305309935,28.770618685694
328.125,0.0688662434350016,0.0255482009255411,28.5929164354903
329.6875,0.0689501351947993,0.0256733810075095,28.4054032379314
331.25,0.0690523004455327,0.0257801526999028,28.3269006997002
332.812500000001,0.0691881988879533,0.0258604394293517,28.0729195347302
334.375000000001,0.0693691179499611,0.0258803276851364,27.7894630100028
335.937500000001,0.0695004103647037,0.0258033159534153,27.9656867954841
337.500000000001,0.0696170693888915,0.0257009512428544,27.9867583128512
339.062500000001,0.069658377235616,0.0255660757908428,28.1606881930741
340.625000000001,0.0696794154626162,0.0254329676514209,28.6010693323063
342.187500000001,0.0695805803455871,0.0252939619056666,28.9013880746902
343.750000000001,0.0694089535078204,0.0251791797485317,29.1180400174708
345.312500000001,0.0692135875182907,0.0251141677856266,29.1896994641932
346.875000000001,0.0690680103010874,0.025101478030773,29.0665395082594
348.437500000001,0.0689141436435068,0.0251359044133475,29.2851612272507
350.000000000001,0.0688209446077156,0.025254771366618,29.0348939860593
351.562500000001,0.0687912132150319,0.0253984286977073,28.7673699434627
353.125000000001,0.0688645438069543,0.0255506879070471,28.6109015106999
354.687500000001,0.0689497562336159,0.0256737488230065,28.4451641038631
356.250000000001,0.0690536479636082,0.0257845175704966,28.2857802309621
357.812500000001,0.0691873118310813,0.0258634182908785,28.1176999049504
359.375000000001,0.0693695844781207,0.0258832752183147,27.7764041981113
360.937500000001,0.0695026926237381,0.0258045688903497,27.9449399446401
362.500000000001,0.0696174529477037,0.025702832270693,28.0166134689696
364.062500000001,0.0696600307923114,0.0255660654438604,28.1407094275489
365.625000000001,0.0696792881497275,0.0254342676600696,28.6098875905738
367.187500000001,0.0695816895753482,0.0252951882776678,28.8944519024186
368.750000000001,0.0694106220763549,0.0251799569942889,29.1152074760537
370.312500000001,0.0692132086872796,0.0251166095782662,29.2239037356647
371.875000000001,0.069067521553594,0.0251022695453604,29.077492552311
373.437500000001,0.0689165135679732,0.0251373226399357,29.2854225587901
375.000000000001,0.0688220753443273,0.0252546243166663,29.052473258338
376.562500000001,0.0687913959043821,0.0253975498450019,28.8050057462455
378.125000000001,0.0688668272737704,0.025551934165618,28.5998314766191
379.687500000001,0.0689506449107488,0.0256733508459579,28.4304991338691
381.250000000001,0.0690528932657018,0.025782046669371,28.3123703458406
382.812500000001,0.0691886406045904,0.0258628274611921,28.0939383813928
384.375000000001,0.0693692845933042,0.0258801929326538,27.7875365138977
385.937500000001,0.0695015475983224,0.0258042292497734,27.9427521552767
387.500000000001,0.0696172559686248,0.0257025723543882,28.001002279812
389.062500000001,0.0696582008049176,0.025565062805743,28.1586848852548
390.625000000001,0.0696804823994069,0.0254358594430058,28.5805077625599
392.187500000001,0.0695811475482389,0.0252942942597064,28.9110303313614
393.750000000001,0.0694088024367897,0.0251806863978197,29.1052180346275
395.312500000001,0.0692171481665368,0.0251140302506609,29.1810691035565
396.875000000001,0.069066399205096,0.0250995175442134,29.0653889551127
398.437500000001,0.0689153791602648,0.0251292697643604,29.2730998781543
400.000000000001,0.068823114307949,0.0252500432386267,29.0042871824055
401.562500000001,0.0687907458717611,0.0253923755090331,28.7698250405065
403.125000000002,0.0688649942024647,0.0255465397990592,28.5917167238364
404.687500000002,0.0689489874875006,0.0256716023960575,28.4040332056323
406.250000000002,0.0690515764610256,0.0257794961423686,28.3254738995118
407.812500000002,0.0691871923549509,0.0258578865307907,28.0721702309248
409.375000000002,0.0693691155132444,0.0258803483156317,27.7894774161558
410.937500000002,0.0695004103514661,0.0258033161802635,27.9656869202125
412.500000000002,0.0696170693887046,0.0257009512442511,27.9867583136882
414.062500000002,0.0696583815830635,0.0255660683193529,28.1606875179707
415.625000000002,0.0696794155038141,0.0254329675271483,28.6010692797279
417.187500000002,0.0695805803458094,0.0252939619046562,28.9013880744477
418.750000000002,0.0694089535078229,0.025179179748535,29.1180400174663
420.312500000002,0.0692135875182926,0.0251141677856412,29.1896994641956
421.875000000002,0.0690680103010925,0.0251014780307733,29.066539508258
423.437500000002,0.068914145300326,0.025135939537711,29.2851917175168
425.000000000002,0.0688209445573347,0.0252547714568443,29.0348939699217
426.562500000002,0.0687912132149999,0.0253984286983828,28.767369943565
428.125000000002,0.0688645441950544,0.0255506878586699,28.6109118159028
429.687500000002,0.0689497562565614,0.02567374867242,28.4451640863422
431.250000000002,0.0690536479636323,0.0257845175701177,28.2857802310028
432.812500000002,0.0691873118310819,0.0258634182908974,28.1176999049554
434.375000000002,0.069369584478124,0.0258832752183272,27.7764041981161
435.937500000002,0.0695026926237401,0.0258045688903541,27.944939944651
437.500000000002,0.0696174477494252,0.0257028469282265,28.0166154490207
439.062500000002,0.0696600307405586,0.025566065486888,28.1407094416972
440.625000000002,0.0696792881495118,0.0254342676609452,28.6098875909834
442.187500000002,0.0695816947976948,0.0252951564391626,28.894431635184
443.750000000002,0.069410622094813,0.0251799570561429,29.1152075120753
445.312500000002,0.0692132086863968,0.0251166095839374,29.2239037385529
446.875000000002,0.0690675215536014,0.025102269545358,29.0774925523097
448.437500000002,0.0689165135679781,0.0251373226399238,29.2854225587747
450,0.0688220753443283,0.0252546243166566,29.0524732583349
